cluster,lead_time,adults,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,required_car_parking_spaces,total_of_special_requests,minor_count,total_nights
0,101.43,1.97,0.0,0.0,0.0,0.0,0.76,0.0,4.13
1,82.59,1.95,0.0,0.0,0.0,0.45,0.84,0.58,3.94
2,62.84,1.41,0.56,0.54,1.44,0.18,0.4,0.0,2.12
3,55.38,1.63,0.0,0.0,0.0,0.0,0.35,0.0,2.78
4,78.95,1.94,0.0,0.01,0.0,0.0,0.9,0.06,3.44
5,65.74,1.98,0.0,0.0,0.0,0.31,0.75,0.78,3.51
6,44.57,1.64,0.45,0.15,0.95,0.2,0.67,0.16,2.81
7,139.76,1.86,0.0,0.0,0.0,0.0,0.39,0.05,5.87
8,170.77,1.79,0.0,0.15,0.0,0.0,0.12,0.0,2.82
