feature,attribute_type,missing_count,missing_pct
country,categorical,488,0.4094
adults,numeric,0,0.0
arrival_date_month,categorical,0,0.0
babies,numeric,0,0.0
children,numeric,0,0.0
customer_type,categorical,0,0.0
deposit_type,categorical,0,0.0
distribution_channel,categorical,0,0.0
hotel,categorical,0,0.0
is_repeated_guest,numeric,0,0.0
lead_time,numeric,0,0.0
market_segment,categorical,0,0.0
previous_bookings_not_canceled,numeric,0,0.0
previous_cancellations,numeric,0,0.0
required_car_parking_spaces,numeric,0,0.0
reserved_room_type,categorical,0,0.0
stays_in_week_nights,numeric,0,0.0
stays_in_weekend_nights,numeric,0,0.0
total_of_special_requests,numeric,0,0.0
