feature,attribute_type,diagnostic,lower_bound,upper_bound,outlier_count,outlier_pct,n_levels,rare_levels_lt_1pct,obs_in_rare_levels_pct
adults,numeric,iqr_1_5,2.0,2.0,29531.0,24.776,,,
minor_count,numeric,iqr_1_5,0.0,0.0,9331.0,7.8285,,,
required_car_parking_spaces,numeric,iqr_1_5,0.0,0.0,7415.0,6.2211,,,
previous_cancellations,numeric,iqr_1_5,0.0,0.0,6484.0,5.44,,,
total_nights,numeric,iqr_1_5,-1.0,7.0,5255.0,4.4089,,,
is_repeated_guest,numeric,iqr_1_5,0.0,0.0,3807.0,3.194,,,
previous_bookings_not_canceled,numeric,iqr_1_5,0.0,0.0,3618.0,3.0354,,,
lead_time,numeric,iqr_1_5,-196.5,375.5,2982.0,2.5018,,,
total_of_special_requests,numeric,iqr_1_5,-1.5,2.5,2877.0,2.4138,,,
market_segment,categorical,rare_levels_lt_1pct,,,,,6.0,1.0,0.8222
customer_type,categorical,rare_levels_lt_1pct,,,,,4.0,1.0,0.4841
deposit_type,categorical,rare_levels_lt_1pct,,,,,3.0,1.0,0.1359
hotel,categorical,rare_levels_lt_1pct,,,,,2.0,0.0,0.0
distribution_channel,categorical,rare_levels_lt_1pct,,,,,3.0,0.0,0.0
reserved_room_type,categorical,rare_levels_lt_1pct,,,,,5.0,0.0,0.0
arrival_season,categorical,rare_levels_lt_1pct,,,,,4.0,0.0,0.0
country_group,categorical,rare_levels_lt_1pct,,,,,11.0,0.0,0.0
