k,seed,ari_standard_vs_robust
3,7,0.18495128769979263
3,21,0.18595079131094402
3,42,0.18481141491345648
3,84,0.18664501840889575
3,123,0.18613763246388212
3,168,0.18596515246802137
3,256,0.18518808404491582
3,512,0.18596515246802137
3,1024,0.18589808353528428
3,2026,0.1846463775791674
4,7,0.2817447638195637
4,21,0.282472366707031
4,42,0.2827604129585321
4,84,0.28229533432249654
4,123,0.28989821948047034
4,168,0.2822488556194203
4,256,0.2826754146280285
4,512,0.2825889767591835
4,1024,0.28285469977921956
4,2026,0.28246146311592774
5,7,0.30751782605486616
5,21,0.2168063268115877
5,42,0.21008970678985406
5,84,0.21875702209751294
5,123,0.2147460110270496
5,168,0.11018966407805
5,256,0.21900759435791659
5,512,0.2109306634052053
5,1024,0.21060205104056393
5,2026,0.21089967762113393
6,7,0.2433029788929647
6,21,0.2485715367467604
6,42,0.34660365102336327
6,84,0.34897280329504016
6,123,0.3500189917105955
6,168,0.3465305999398578
6,256,0.34635016532668017
6,512,0.24702296490964729
6,1024,0.34955207187004445
6,2026,0.34821869620029805
7,7,0.15788152904520478
7,21,0.15802578728224462
7,42,0.1304785044342467
7,84,0.20791193651782733
7,123,0.22149195122111398
7,168,0.1447817851826506
7,256,0.3727762067517413
7,512,0.14266364578776158
7,1024,0.17581400594863686
7,2026,0.18597051440654672
8,7,0.266376474296245
8,21,0.25817889292944857
8,42,0.26462553551057894
8,84,0.25812353089453716
8,123,0.2990809755123344
8,168,0.25806700924375064
8,256,0.25790510504467706
8,512,0.2665466641211155
8,1024,0.2663152433804903
8,2026,0.2580186621431336
