representation,k,run_pairs,ari_between_runs_mean,ari_between_runs_std,ari_between_runs_min
final_precluster_matrix,3,45,0.9933938760479714,0.005212297994746679,0.9876221228796082
final_precluster_matrix,4,45,0.9633536243400899,0.06211432122371779,0.838689613535166
final_precluster_matrix,5,45,0.7670806454143747,0.2810163044909703,0.34252457385671997
final_precluster_matrix,6,45,0.9940608059386931,0.0031030697948042853,0.9878125209242196
final_precluster_matrix,7,45,0.753326640454487,0.21263299770916033,0.41981875703746385
final_precluster_matrix,8,45,0.9991126505871925,0.0005110369282632537,0.9981629803293849
robust_final_precluster_matrix,3,45,0.9993287842832278,0.0003805809793128657,0.9987559896779203
robust_final_precluster_matrix,4,45,0.9988827903229628,0.0005461707482948509,0.9977946534561879
robust_final_precluster_matrix,5,45,0.9970582112963544,0.0017000876184189338,0.9939931603109537
robust_final_precluster_matrix,6,45,0.8324854883986412,0.1705801098030208,0.6358575161684022
robust_final_precluster_matrix,7,45,0.8520711595246844,0.09691547718707415,0.6353032780296344
robust_final_precluster_matrix,8,45,0.8360043551148261,0.15836217308298328,0.5846436465793419
